sweep_id,run_id,batch_size,opt,lr,wd,rdm_seed,n_layer,n_head,n_embd,embd_pdrop,resid_pdrop,attn_pdrop,datapoints_seen,train_acc,indist_acc,ood_acc
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,130000,1.0,1.0,0.971000075340271
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,130000,1.0,1.0,0.8390000462532043
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,170000,0.9987999796867372,1.0,0.4940000176429748
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,180000,1.0,1.0,0.426000028848648
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,140000,1.0,1.0,0.968000054359436
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,140000,1.0,1.0,0.7360000610351562
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,140000,1.0,1.0,0.9950000643730164
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,140000,1.0,1.0,0.7830000519752502
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,140000,0.9995999932289124,1.0,0.9070000648498536
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,140000,1.0,1.0,0.8390000462532043
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,140000,1.0,1.0,0.971000075340271
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,190000,1.0,1.0,0.4070000052452087
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,200000,1.0,1.0,0.3900000154972076
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,150000,1.0,1.0,0.9670000672340392
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,150000,1.0,1.0,0.7400000095367432
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,150000,1.0,1.0,0.9940000176429749
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,150000,1.0,1.0,0.7860000133514404
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,150000,1.0,1.0,0.8390000462532043
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,150000,1.0,1.0,0.8940000534057617
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,150000,1.0,1.0,0.971000075340271
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,210000,1.0,1.0,0.3740000128746032
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,160000,0.9949999451637268,1.0,0.8640000224113464
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,160000,0.9914000034332277,1.0,0.9390000700950624
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,160000,0.9976999759674072,1.0,0.8690000176429749
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,160000,0.9983999729156494,1.0,0.6860000491142273
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,160000,1.0,1.0,0.8390000462532043
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,160000,0.998699963092804,1.0,0.9420000314712524
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,160000,0.996999979019165,1.0,0.9920000433921814
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,220000,1.0,1.0,0.3550000190734863
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,170000,0.9994999766349792,1.0,0.8700000643730164
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,170000,0.9984999895095824,0.999000072479248,0.7890000343322754
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,170000,1.0,1.0,0.906000018119812
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,170000,1.0,1.0,0.6780000329017639
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,170000,1.0,1.0,0.8340000510215759
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,170000,1.0,1.0,0.9330000281333924
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,170000,0.9995999932289124,1.0,0.9960000514984132
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,230000,1.0,1.0,0.3490000069141388
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,180000,1.0,1.0,0.8980000615119934
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,180000,1.0,1.0,0.8220000267028809
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,180000,1.0,1.0,0.9130000472068788
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,180000,1.0,1.0,0.6910000443458557
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,180000,1.0,1.0,0.8360000252723694
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,180000,1.0,1.0,0.9350000619888306
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,180000,1.0,1.0,0.9950000643730164
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,240000,1.0,1.0,0.3440000116825104
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,190000,0.9990999698638916,1.0,0.8770000338554382
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,190000,1.0,1.0,0.8370000123977661
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,190000,1.0,1.0,0.8250000476837158
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,190000,0.9991999864578248,1.0,0.8480000495910645
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,190000,1.0,1.0,0.6690000295639038
0acb79e7,74f334e4,8,adam,0.0001,0,113,3,4,64,0,0,0,190000,0.999399960041046,1.0,0.9610000252723694
0acb79e7,c6962a2b,8,adam,0.0001,0,71,3,4,64,0,0,0,190000,0.9990999698638916,1.0,0.6520000100135803
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,250000,1.0,1.0,0.3390000164508819
0acb79e7,7ef20fd6,8,adam,0.0001,0,97,3,4,64,0,0,0,200000,1.0,1.0,0.8360000252723694
0acb79e7,8e1c81e8,8,adam,0.0001,0,53,3,4,64,0,0,0,200000,1.0,1.0,0.8820000290870667
0acb79e7,26bef1f1,8,adam,0.0001,0,19,3,4,64,0,0,0,200000,1.0,1.0,0.8270000219345093
0acb79e7,e19a7227,8,adam,0.0001,0,131,3,4,64,0,0,0,200000,1.0,1.0,0.8560000658035278
0acb79e7,84b7f2a7,8,adam,0.0001,0,37,3,4,64,0,0,0,200000,1.0,1.0,0.6800000071525574
0acb79e7,6dc71cae,8,adam,0.0001,0,7,3,4,64,0,0,0,260000,1.0,1.0,0.3350000083446502
